,orig_plate,orig_row,orig_col,orig_col_row,keio_name,genotype,new_plate,new_row,new_col,new_col_row
0,1,A,1,"['A', 1]",JW1950,hchA,2,A,1,"['A', 1]"
1,1,A,2,"['A', 2]",JW3701,bglG,2,A,2,"['A', 2]"
2,1,A,3,"['A', 3]",JW3905,cytR,2,A,3,"['A', 3]"
3,1,A,4,"['A', 4]",JW1328,fnr,2,A,4,"['A', 4]"
4,1,A,5,"['A', 5]",JW0430,hupB,2,A,5,"['A', 5]"
5,1,A,7,"['A', 7]",JW0662,nagC,2,A,6,"['A', 6]"
6,1,A,8,"['A', 8]",JW3877,rhaR,2,A,7,"['A', 7]"
7,1,A,9,"['A', 9]",JW1316,tyrR,2,A,8,"['A', 8]"
8,1,A,10,"['A', 10]",JW5917,rcsC,2,A,10,"['A', 10]"
9,1,A,11,"['A', 11]",JW0111,aceF,2,A,11,"['A', 11]"
10,1,A,12,"['A', 12]",JW0711,sdhC,2,A,12,"['A', 12]"
11,1,B,2,"['B', 2]",JW1262,btuR,2,B,1,"['B', 1]"
12,1,B,3,"['B', 3]",JW0824,deoR,2,B,2,"['B', 2]"
13,1,B,4,"['B', 4]",JW2776,fucR,2,B,3,"['B', 3]"
14,1,B,5,"['B', 5]",JW2883,argP,2,B,4,"['B', 4]"
15,1,B,7,"['B', 7]",JW3195,nanR,2,B,5,"['B', 5]"
16,1,B,9,"['B', 9]",JW1610,uidR,2,B,6,"['B', 6]"
17,1,B,11,"['B', 11]",JW0114,acnB,2,B,7,"['B', 7]"
18,1,B,12,"['B', 12]",JW0712,sdhD,2,B,8,"['B', 8]"
19,1,C,1,"['C', 1]",JW2201,ada,2,B,9,"['B', 9]"
20,1,C,2,"['C', 2]",JW4094,cadC,2,B,10,"['B', 10]"
21,1,C,3,"['C', 3]",JW2361,dsdC,2,B,11,"['B', 11]"
22,1,C,4,"['C', 4]",JW2805,galR,2,B,12,"['B', 12]"
23,1,C,5,"['C', 5]",JW4221,idnR,2,C,1,"['C', 1]"
24,1,C,6,"['C', 6]",JW4079,melR,2,C,2,"['C', 2]"
25,1,C,7,"['C', 7]",JW0019,nhaR,2,C,3,"['C', 3]"
26,1,C,8,"['C', 8]",JW4024,soxR,2,C,4,"['C', 4]"
27,1,C,9,"['C', 9]",JW4287,uxuR,2,C,5,"['C', 5]"
28,1,C,10,"['C', 10]",JW0078,fruR,2,C,6,"['C', 6]"
29,1,C,11,"['C', 11]",JW0324,prpC,2,C,7,"['C', 7]"
30,1,C,12,"['C', 12]",JW0713,sdhA,2,C,8,"['C', 8]"
31,1,D,1,"['D', 1]",JW4077,adiY,2,C,9,"['C', 9]"
32,1,D,2,"['D', 2]",JW1966,cbl,2,C,10,"['C', 10]"
33,1,D,3,"['D', 3]",JW3046,ebgR,2,C,11,"['C', 11]"
34,1,D,5,"['D', 5]",JW3746,ilvY,2,C,12,"['C', 12]"
35,1,D,6,"['D', 6]",JW3909,metJ,2,D,1,"['D', 1]"
