,0,1,2,3,4,5,6,7,8,9,10,11
0,JW1950,JW3701,JW3905,JW1328,JW0430,JW0662,JW3877,JW1316,wild_type,JW5917,JW0111,JW0711
1,hchA,bglG,cytR,fnr,hupB,nagC,rhaR,tyrR,wild_type,rcsC,aceF,sdhC
2,JW1262,JW0824,JW2776,JW2883,JW3195,JW1610,JW0114,JW0712,JW2201,JW4094,JW2361,JW2805
3,btuR,deoR,fucR,argP,nanR,uidR,acnB,sdhD,ada,cadC,dsdC,galR
4,JW4221,JW4079,JW0019,JW4024,JW4287,JW0078,JW0324,JW0713,JW4077,JW1966,JW3046,JW3746
5,idnR,melR,nhaR,soxR,uxuR,fruR,prpC,sdhA,adiY,cbl,ebgR,ilvY
6,JW3909,JW0109,JW4023,JW2396,JW1702,JW0419,JW0714,JW0553,JW1724,JW3232,JW0075,JW3804
7,metJ,pdhR,soxS,xapR,ihfA,cyoD,sdhB,appY,chbR,envR,leuO,metR
8,JW0244,JW2644,JW3254,JW3732,JW0420,JW3206,JW0555,JW0895,JW0872,JW0337,JW4063,JW3089
9,perR,stpA,zntR,rbsR,cyoC,argR,envY,ihfB,lrp,mhpR,phnF,tdcA
10,JW0198,JW1901,JW0421,JW0716,JW3721,JW1023,JW1176,JW2807,JW1967,JW4200,JW0596,JW2676
11,yafC,sdiA,cyoB,sucB,asnC,csgD,fadR,lysR,nac,treR,ybdO,srlR
12,JW0422,JW0717,JW0305,JW5894,JW3229,JW3964,JW1612,JW1650,JW4356,JW0624,JW0007,JW0506
13,cyoA,sucC,betI,cynR,fis,hupA,malI,purR,trpR,ybeF,talB,fdrA
14,JW0739,JW1228,JW2273,wild_type,JW5875,JW3205,JW3923,JW4112,JW1872,JW2213,JW1268,JW2274
15,galM,adhE,nuoL,wild_type,nuoB,mdh,pflD,frdD,cheB,atoS,acnA,nuoK
0,JW2283,JW3343,JW4113,JW0611,JW1116,JW1877,JW1413,JW1841,JW2275,JW2385,JW3349,JW3928
1,nuoA,yhfW,frdC,citA,phoP,cheA,gapC,zwf,nuoJ,glk,rpe,ppc
2,JW4114,JW0612,JW1212,JW1899,JW2366,JW0886,JW5906,JW1843,JW2447,JW3974,JW4115,JW1213
3,frdB,citB,narL,uvrY,evgA,pflB,gapC,pykA,maeB,aceB,frdA,narX
4,JW1951,JW2367,JW2011,JW2277,JW2448,JW3587,wild_type,JW3975,JW4346,JW0683,JW2453,JW0960
5,yedV,evgS,gnd,nuoH,talA,gpmI,wild_type,aceA,deoB,kdpD,narQ,appC
6,JW1603,JW2278,JW2449,wild_type,JW3887,JW3985,JW4358,JW0797,JW1600,JW2538,JW0961,JW1604
7,fumC,nuoG,tktB,wild_type,pfkA,pgi,ytjC,dps,rstA,yfhA,appB,fumA
8,JW2271,JW2279,JW0563,JW4051,JW0389,JW1601,JW2181,JW1666,JW2272,JW2280,JW2943,JW3918
9,nuoN,nuoF,cusB,rpiB,phoB,rstB,narP,pykF,nuoM,nuoE,glcB,fsaB
